trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-261.24852456289466,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-115.1883711026946,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-58.43093039003267,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,3,-82.73819501220869,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-75.01330903810822,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-11.257201304092614,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-86.58891238791614,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-101.2927781273416,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,2,-48.313997844380985,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-36.268622214321404,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,7,-51.703155224276024,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,15,0.69363857501761,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,13,-9.602172956075162,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,2,-10.713060804340829,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-68.12467868220955,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-63.06975199504295,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,11,-5.532012676718826,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,10,2.034369143144948,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,17,6.999722130659283,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,3.769228103363324,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,13,12.395869149162941,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,22,13.08194679709655,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,0,36.497518107188654,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,11,16.67165714912757,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,14,13.370305262946818,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,11,26.59005541637687,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",35,19,31.051540912610623,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,0,42.354388208295305,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,14,30.331520701724997,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,9,16.410248254096736,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
