trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.4775}",25,4,-48.92038622944126,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.4560125}",25,0,-177.51697669292778,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.4354919375}",25,0,-53.84023378712845,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.4158948003125}",30,0,-47.82572242487904,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.39717953429843744}",25,0,-79.61956236370006,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.3793064552550077}",25,0,-48.041528245008294,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.36223766476853236}",20,13,6.99090090780456,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.3459369698539484}",25,15,-13.428316885986453,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.3303698062105207}",25,17,14.407024628777686,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.31550316493104724}",25,0,2.672893245865388,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.3013055225091501}",20,12,10.238197315168897,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.2877467739962383}",30,10,-45.81135502915217,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.2747981691664076}",25,12,-7.308183540446304,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.26243225155391925}",20,9,13.512777723863254,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.25062280023399286}",20,7,-35.960946479747264,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.23934477422346317}",20,9,9.702105171925044,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.22857425938340734}",25,13,-0.08800944441481207,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.218288417711154}",20,14,12.512135070958497,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.20846543891415206}",20,1,-4.986395907233494,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.1990844941630152}",30,21,7.159578546058159,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.19012569192567952}",20,6,15.590498938416925,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.18157003578902392}",25,0,6.638942138246266,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.17339938417851783}",20,13,-0.7832757828863695,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.16559641189048452}",30,16,-20.016424994449896,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.1581445733554127}",25,8,28.599605430261374,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.15102806755441914}",30,18,14.327367349393725,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.14423180451447026}",20,6,27.536642655041913,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.13774137331131908}",20,5,26.676520729521442,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.1315430115123097}",25,11,24.83839290756121,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.12562357599425578}",25,20,11.541289876114263,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.11997051507451426}",30,16,21.457799219633458,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.11457184189616111}",25,16,14.61191496560561,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.10941610901083386}",30,13,-12.170676513436833,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.10449238410534634}",20,16,8.730992078616058,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.09979022682060575}",20,8,16.852982418009095,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.09529966661367849}",25,15,18.062154277320868,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.09101118161606295}",20,13,-12.304823394998667,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.08691567844334011}",25,20,8.844374143712226,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.0830044729133898}",25,17,17.73906224525301,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.07926927163228727}",25,2,29.673169033489607,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.07570215440883434}",25,20,10.286056598137826,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.07229555746043678}",25,11,10.419618033783092,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.06904225737471713}",20,8,23.48134259653587,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.06593535579285485}",25,8,-55.138948626546274,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
45,False,"{'a': 0.5, 'e': 0.06296826478217638}",20,10,17.909114180228098,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.06013469286697844}",25,19,9.154751077238648,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.0574286316879644}",25,16,17.91983756171299,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.054844343262006004}",25,11,19.87180022960317,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.05237634781521573}",20,2,26.36308922650777,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.05001941216353102}",25,16,15.928409213609644,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.047768538616172126}",20,10,19.730764200547565,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.045618954378444376}",20,14,9.086482426448308,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.04356610143141438}",20,6,19.43392607765854,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.04160562686700073}",20,15,7.649177097503713,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.039733373657985696}",20,14,12.206735717270613,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.03794537184337634}",25,13,0.38869269845492305,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.036237830110424404}",20,9,12.541145328231138,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.034607127755455304}",25,9,26.15673974389978,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.03304980700645981}",30,12,30.910361543786795,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.03156256569116912}",20,10,14.500991513275608,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.03014225023506651}",25,16,16.72785049227562,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.028785848974488517}",30,19,19.626062269538693,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.027490485770636532}",25,15,15.544753073549977,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.02625341391095789}",35,15,31.632692383220185,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.025072010284964783}",35,18,33.1292161519123,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.023943769822141366}",20,12,11.48449448774945,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.022866300180145002}",20,9,16.553828585819033,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.021837316672038476}",30,14,33.12876059927969,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.020854637421796742}",25,10,26.612252724560282,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.019916178737815888}",20,7,19.131956321931703,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.019019950694614172}",25,13,17.123154667359216,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.018164052913356533}",20,14,13.206586821823947,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.017346670532255488}",20,8,22.115153773927716,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.01656607035830399}",25,11,24.525207955101283,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.01582059719218031}",20,11,16.49117163599457,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.015108670318532195}",25,15,18.21764228671271,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.014428780154198245}",35,15,38.51302566872348,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.013779485047259322}",25,18,16.517081673498755,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.013159408220132653}",20,14,12.945099450522907,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.012567234850226683}",25,6,30.965756353388986,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.01200170928196648}",35,21,22.263349381610425,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.011461632364277989}",20,9,15.797364568396446,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.01094585890788548}",30,17,22.851199063277466,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
