trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",20,0,-162.12336580107365,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.5}",25,0,-122.05792260128842,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.5}",20,0,-100.52965266058544,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.5}",35,0,-205.23766703172396,"{0: 25, 1: 1, 2: 4, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.5}",25,0,-116.5808510906593,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.5}",30,0,-127.85595997449425,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.5}",20,0,-112.30280452263025,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5}",25,0,-117.7164591703511,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5}",20,0,-121.72757539416463,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5}",25,0,-122.24373312246315,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5}",20,0,-107.8309381125777,"{0: 6, 1: 6, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.5}",20,0,-129.38698528385288,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.5}",25,0,-145.62896853320328,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.5}",25,0,-168.34657220135614,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.5}",25,0,-257.7541156455731,"{0: 11, 1: 2, 2: 6, 3: 2, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.5}",30,0,-135.34592361334853,"{0: 22, 1: 0, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.5}",30,0,-97.77334263061046,"{0: 16, 1: 5, 2: 9, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.5}",30,0,-177.24332265905375,"{0: 15, 1: 2, 2: 10, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.5}",25,0,-98.84610804349006,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.5}",25,0,-113.28346652078329,"{0: 12, 1: 5, 2: 6, 3: 2, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-82.72561737857666,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-165.13708080517986,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-66.16761926319319,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,8,-58.73281856497907,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",35,0,-141.02550310669014,"{0: 23, 1: 5, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-185.3128534854586,"{0: 9, 1: 1, 2: 5, 3: 3, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,11,-13.498764491061264,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-99.38279663061967,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-186.8012244362078,"{0: 16, 1: 2, 2: 1, 3: 3, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-151.16569151309344,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
